iter	RMSE
0	14725.10562
1	12463.94266
2	10603.38723
3	8964.573763
4	7680.078228
5	6717.850113
6	5867.043008
7	5294.807889
8	4668.693409
9	4070.98182
10	3871.027919
11	3365.340956
12	2986.744111
13	2671.258989
14	2482.667728
15	2206.330351
16	2012.336353
17	1862.439623
18	1714.456171
19	1568.805608
20	1506.972837
21	1455.73164
22	1408.120612
23	1364.868359
24	1274.376595
25	1155.881615
26	1079.941198
27	1048.422302
28	981.0464998
29	955.9744602
30	907.7256124
31	830.5783019
32	809.121356
33	764.2932732
34	742.1727722
35	723.0361125
36	687.6738687
37	674.4803953
38	644.9755942
39	633.6732747
40	588.4674928
41	552.2337266
42	524.7004172
43	513.7349418
44	496.4329914
45	472.5065408
46	449.5963761
47	425.4166106
48	418.4569542
49	412.3286898
