iter	Passed	Remaining
0	4	4661
1	6	2998
2	9	3100
3	10	2702
4	15	3074
5	20	3419
6	23	3362
7	25	3150
8	26	2955
9	27	2747
10	29	2617
11	30	2470
12	30	2346
13	32	2269
14	33	2201
15	34	2145
16	36	2091
17	36	1998
18	37	1925
19	38	1894
20	39	1863
21	42	1883
22	44	1910
23	47	1943
24	50	1985
25	53	2011
26	58	2093
27	59	2075
28	61	2048
29	62	2020
30	64	2002
31	65	1968
32	67	1980
33	68	1957
34	72	1993
35	75	2023
36	77	2016
37	78	1993
38	81	1999
39	82	1969
40	86	2032
41	89	2036
42	90	2019
43	92	2012
44	94	2013
45	96	1998
46	99	2025
47	109	2166
48	118	2299
49	120	2291
50	121	2268
51	123	2247
52	124	2225
53	127	2227
54	129	2218
55	132	2230
56	135	2244
57	138	2252
58	140	2236
59	140	2201
60	142	2190
61	144	2186
62	147	2197
63	148	2174
64	150	2163
65	151	2142
66	154	2156
67	157	2155
68	161	2174
69	161	2146
70	162	2131
71	164	2117
72	165	2102
73	166	2088
74	168	2075
75	168	2051
76	169	2030
77	170	2017
78	172	2005
79	173	1993
80	174	1976
81	175	1960
82	176	1949
83	179	1954
84	180	1941
85	183	1949
86	186	1953
87	189	1958
88	189	1941
89	193	1953
90	194	1947
91	196	1941
92	199	1941
93	200	1935
94	205	1956
95	207	1958
96	209	1948
97	210	1939
98	212	1929
99	213	1920
100	214	1912
101	216	1902
102	216	1885
103	217	1876
104	219	1867
105	220	1859
106	221	1850
107	224	1857
108	226	1850
109	229	1858
110	232	1858
111	235	1871
112	238	1870
113	2113	366	2849
114	367	115	2115	378	2884
116	384	2898
117	389	2910
118	393	2911
119	395	2900
120	397	2884
121	399	2873
122	399	2850
123	410	2897
124	417	2919
125	427	2965
126	430	2956
127	433	2952
128	437	2950
129	442	2958
130	444	2950
131	450	2963
132	453	2956
133	457	2956
134	460	2947
135	464	2952
136	468	2951
137	473	2956
138	474	2942
139	477	2935
140	482	2942
141	484	2928
142	488	2927
143	489	2912
144	493	2909
145	499	2921
146	502	2915
147	503	2899
148	508	2901
149	513	2907
150	515	151	3151	521	2909
152	523	2898
153	527	2899
154	531	155	3155	533	156	3156	538	157	3157	543	2894
158	545	159	4159	549	160	4160	553	161	409	2117
162	413	2122
163	417	2130
164	418	2120
165	419	2108
166	423	2110
167	427	2119
168	431	2123
169	435	2125
170	440	2134
171	444	2137
172	447	2139
173	451	2144
174	452	2132
175	456	2138
176	460	2141
177	463	2139
178	468	2147
179	473	2155
180	476	2158
181	479	2154
182	482	2155
183	484	2150
184	487	2148
185	491	2153
186	492	2140
187	495	2141
188	500	2147
189	502	2140
190	505	2139
191	508	2137
192	510	2134
193	514	2135
194	517	2135
195	518	2126
196	522	2130
197	527	2137
198	531	2141
199	536	2144
200	540	2146
201	543	2147
202	547	2150
203	550	2148
204	554	2152
205	558	2154
206	562	2154
207	565	2154
208	568	2150
209	572	2153
210	575	2152
211	578	2150
212	579	2140
213	583	2143
214	587	2145
215	591	2148
216	595	2149
217	600	2152
218	603	2153
219	607	2152
220	608	2145
221	612	2147
222	616	2147
223	622	2158
224	627	2162
225	633	2169
226	635	2164
227	640	2167
228	647	2179
229	654	2189
230	661	2202
231	666	2206
232	669	2204
233	672	2202
234	674	2197
235	679	2199
236	682	2196
237	685	2193
238	689	2196
239	692	2192
240	694	2188
241	699	2190
242	700	2183
243	704	2181
244	707	2181
245	708	2172
246	710	2165
247	712	2159
248	714	2153
249	715	2147
250	717	2142
251	719	2136
252	721	2129
253	722	2122
254	725	2118
255	729	2120
256	733	2121
257	737	2121
258	741	2122
259	746	2124
260	748	2120
261	752	2120
262	758	2124
263	761	2123
264	765	2123
265	768	2121
266	772	2120
267	776	2121
268	780	2120
269	782	2114
270	783	2108
271	790	2116
272	794	2115
273	798	2116
274	803	2117
275	807	2118
276	812	2120
277	816	2119
278	820	2119
279	822	2115
280	827	2116
281	830	2114
282	836	2118
283	840	2120
284	844	2118
285	848	2119
286	851	2116
287	857	2119
288	861	2119
289	864	2117
290	868	2115
291	875	2123
292	882	2130
293	884	2125
294	892	2134
295	893	2126
296	901	2134
297	907	2137
298	914	2143
299	919	2146
300	927	2153
301	936	2163
302	941	2165
303	946	2167
304	953	2171
305	961	2180
306	968	2185
307	974	2188
308	982	2197
309	988	2200
310	992	2198
311	996	2197
312	1000	2195
313	1004	2193
314	1005	2187
315	1010	2187
316	1015	2188
317	1019	2186
318	1022	2183
319	1027	2183
320	1031	2181
321	1035	2181
322	1039	2178
323	1044	2178
324	1047	2176
325	1054	2180
326	1058	2179
327	1061	2175
328	1066	2174
329	1067	2166
330	1071	2165
331	1075	2163
332	1081	2166
333	1085	2165
334	1088	2161
335	1092	2158
336	1096	2158
337	1103	2160
338	1105	2155
339	1109	2154
340	1113	2152
341	1117	2149
342	1121	2147
343	1130	2156
344	1140	2166
345	1144	2163
346	1149	2162
347	1153	2161
348	1157	2158
349	1161	2157
350	1165	2155
351	1167	2148
352	1172	2148
353	1175	2145
354	1179	2143
355	1183	2140
356	1187	2139
357	1189	2132
358	1194	2132
359	1197	2129
360	1199	2123
361	1203	2121
362	1208	2120
363	1212	2117
364	1215	2114
365	1219	2112
366	1223	2110
367	1227	2107
368	1231	2106
369	1235	2103
370	1242	2106
371	1246	2104
372	1248	2099
373	1253	2097
374	1257	2095
375	1262	2095
376	1267	2094
377	1271	2092
378	1275	2090
379	1280	2089
380	1284	2087
381	1289	2086
382	1292	2082
383	1297	2081
384	1301	2079
385	1306	2077
386	1310	2075
387	1314	2073
388	1318	2070
389	1322	2068
390	1327	2067
391	1332	2066
392	1336	2063
393	1340	2061
394	1344	2058
395	1348	2056
396	1352	2053
397	1357	2052
398	1360	2048
399	1365	2048
400	1370	2047
401	1373	2042
402	1380	2044
403	1386	2045
404	1389	2041
405	1397	2044
406	1402	2043
407	1407	2042
408	1416	2046
409	1424	2050
410	1426	2043
411	1437	2051
412	1439	2045
413	1441	2039
414	1442	2033
415	1444	2028
416	1446	2022
417	1448	2016
418	1450	2011
419	1452	2006
420	1457	2004
421	1461	2001
422	1465	1998
423	1466	1992
424	1469	1987
425	1470	1981
426	1472	1976
427	1474	1970
428	1476	1965
429	1477	1959
430	1480	1954
431	1482	1948
432	1483	1942
433	1485	1937
434	1488	1932
435	1489	1927
436	1491	1921
437	1492	1915
438	1494	1910
439	1496	1904
440	1498	1899
441	1500	1894
442	1502	1888
443	1503	1883
444	1506	1878
445	1508	1873
446	1509	1867
447	1511	1862
448	1513	1857
449	1515	1852
450	1517	1846
451	1519	1842
452	1521	1837
453	1522	1831
454	1526	1828
455	1528	1823
456	1530	1819
457	1532	1813
458	1533	1807
459	1535	1802
460	1537	1798
461	1539	1792
462	1541	1788
463	1543	1782
464	1545	1777
465	1546	1772
466	1548	1767
467	1551	1763
468	1552	1758
469	1554	1752
470	1556	1748
471	1558	1743
472	1559	1738
473	1562	1733
474	1563	1728
475	1566	1724
476	1567	1719
477	1569	1713
478	1571	1709
479	1573	1704
480	1575	1699
481	1576	1694
482	1578	1690
483	1581	1685
484	1583	1680
485	1585	1676
